"タイトル","説明","品物番号","定価",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：167 mm　<br>高：322 mm　<br>出しろ：234 mm<br>質量：1.7 kg<br>器具光束：340 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：79 lm/W<br>デザイン分類：French Chic<br>【ガラスカバー】透明石目模様入り<br>【アルミダイカスト】ダークブラウン多色塗装<br>壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85044AF","31000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：167 mm　<br>高：322 mm　<br>出しろ：234 mm<br>質量：1.7 kg<br>器具光束：340 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：79 lm/W<br>デザイン分類：French Chic<br>【ガラスカバー】透明石目模様入り<br>【アルミダイカスト】オフブラック<br>壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85044BF","29500",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：167 mm　<br>高：322 mm　<br>出しろ：234 mm<br>質量：1.7 kg<br>器具光束：340 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：79 lm/W<br>デザイン分類：French Chic<br>【ガラスカバー】透明石目模様入り<br>【アルミダイカスト】ホワイト<br>壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85044WF","29500",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：167 mm　<br>高：322 mm　<br>出しろ：250 mm<br>質量：2 kg<br>器具光束：340 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：66.6 lm/W<br>デザイン分類：French Chic<br>【ガラスカバー】透明石目模様入り<br>【アルミダイカスト】ダークブラウン多色塗装<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGWC85044AF","44000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：167 mm　<br>高：322 mm　<br>出しろ：250 mm<br>質量：2 kg<br>器具光束：340 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：66.6 lm/W<br>デザイン分類：French Chic<br>【ガラスカバー】透明石目模様入り<br>【アルミダイカスト】オフブラック<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGWC85044BF","43000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：167 mm　<br>高：322 mm　<br>出しろ：250 mm<br>質量：2 kg<br>器具光束：340 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：66.6 lm/W<br>デザイン分類：French Chic<br>【ガラスカバー】透明石目模様入り<br>【アルミダイカスト】ホワイト<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGWC85044WF","43000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　数寄屋　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：170 mm　<br>高：265 mm　<br>出しろ：126 mm<br>質量：0.8 kg<br>器具光束：274 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：63.7 lm/W<br>デザイン分類：数寄屋<br>【アクリルカバー】乳白<br>【木製】桧<br>壁直付型、密閉型<br>Ra80<br>耐候処理仕上<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>天然木を使用していますので年数とともに徐々に風化（経年変化）していきます。<br>天然木を使用していますので雨線内でご使用ください。変色・腐食の原因になります。<br>","LGW85082F","27900",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　数寄屋　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：170 mm　<br>高：265 mm　<br>出しろ：126 mm<br>質量：0.8 kg<br>器具光束：274 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：63.7 lm/W<br>デザイン分類：数寄屋<br>【アクリルカバー】乳白<br>【木製】桧<br>壁直付型、密閉型<br>Ra80<br>耐候処理仕上<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>天然木を使用していますので年数とともに徐々に風化（経年変化）していきます。<br>天然木を使用していますので雨線内でご使用ください。変色・腐食の原因になります。<br>","LGW85085F","30500",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：164 mm　<br>高：257 mm　<br>出しろ：119 mm<br>質量：0.9 kg<br>器具光束：274 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：63.7 lm/W<br>デザイン分類：現代和風<br>【アクリルカバー】乳白<br>【ステンレス】プラチナメタリック<br>壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>","LGW85086F","26800",
"天井直付型・壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：170 mm　<br>高：170 mm　<br>出しろ：110 mm<br>質量：1.4 kg<br>器具光束：272 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：63.2 lm/W<br>デザイン分類：Stylish Modern<br>【アルミダイカスト】オフブラック<br>【ガラスカバー】乳白つや消し<br>天井直付型・壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>壁面・天井面取付専用<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGW85004BF","22500",
"天井直付型・壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：170 mm　<br>高：170 mm　<br>出しろ：110 mm<br>質量：1.4 kg<br>器具光束：272 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：63.2 lm/W<br>デザイン分類：Stylish Modern<br>【アルミダイカスト】プラチナメタリック<br>【ガラスカバー】乳白つや消し<br>天井直付型・壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>壁面・天井面取付専用<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGW85004YF","22500",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　数寄屋　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：216 mm　<br>高：271 mm　<br>出しろ：150 mm<br>質量：0.9 kg<br>器具光束：270 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：62.7 lm/W<br>デザイン分類：数寄屋<br>【アクリルカバー】乳白<br>【木製】桧<br>壁直付型、密閉型<br>Ra80<br>耐候処理仕上<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>天然木を使用していますので年数とともに徐々に風化（経年変化）していきます。<br>天然木を使用していますので雨線内でご使用ください。変色・腐食の原因になります。<br>","LGW85084F","36000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：164 mm　<br>高：257 mm　<br>出しろ：119 mm<br>質量：0.9 kg<br>器具光束：254 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：59 lm/W<br>デザイン分類：現代和風<br>【アクリルカバー】乳白<br>【ステンレス】オフブラック<br>壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>","LGW85083F","29000",
"天井直付型・壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：160 mm　<br>高：160 mm　<br>出しろ：110 mm<br>質量：1.9 kg<br>器具光束：250.8 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：58.3 lm/W<br>デザイン分類：Stylish Modern<br>【アルミダイカスト】プラチナメタリック<br>【ガラスカバー】乳白つや消し<br>天井直付型・壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>壁面・天井面取付専用<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGW85005YF","24000",
"天井直付型・壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：160 mm　<br>高：160 mm　<br>出しろ：110 mm<br>質量：1.9 kg<br>器具光束：250 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：58.1 lm/W<br>デザイン分類：Stylish Modern<br>【アルミダイカスト】オフブラック<br>【ガラスカバー】乳白つや消し<br>天井直付型・壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>壁面・天井面取付専用<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGW85005BF","24000",
"天井直付型・壁直付型　LED（電球色）　ポーチライト　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：123 mm　<br>高：291 mm　<br>出しろ：120 mm<br>質量：0.7 kg<br>器具光束：250 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：58.1 lm/W<br>デザイン分類：Stylish Modern<br>【アクリルカバー】乳白<br>天井直付型・壁直付型<br>Ra80<br>40形電球1灯器具相当<br>壁面・天井面取付専用<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85037B","19200",
"天井直付型・壁直付型　LED（電球色）　ポーチライト　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：123 mm　<br>高：291 mm　<br>出しろ：120 mm<br>質量：0.7 kg<br>器具光束：250 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：58.1 lm/W<br>デザイン分類：Casual<br>【アクリルカバー】乳白<br>天井直付型・壁直付型<br>Ra80<br>40形電球1灯器具相当<br>壁面・天井面取付専用<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85037W","19200",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：153 mm　<br>高：252 mm　<br>出しろ：259 mm<br>質量：1.5 kg<br>器具光束：237 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：55.1 lm/W<br>デザイン分類：Vintage<br>【ガラスカバー】透明<br>【アルミダイカスト】ダークブラウンメタリック<br>壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85216F","48000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：153 mm　<br>高：252 mm　<br>出しろ：259 mm<br>質量：1.5 kg<br>器具光束：237 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：55.1 lm/W<br>デザイン分類：Vintage<br>【ガラスカバー】透明<br>【アルミダイカスト】オフブラック<br>壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85217F","48000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：153 mm　<br>高：252 mm　<br>出しろ：259 mm<br>質量：1.5 kg<br>器具光束：237 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：55.1 lm/W<br>デザイン分類：Vintage<br>【ガラスカバー】透明<br>【アルミダイカスト】ホワイト<br>壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85218F","48000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・ペア点灯可能型・点灯省エネ型・明るさセンサ付　数寄屋　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：170 mm　<br>高：265 mm　<br>出しろ：126 mm<br>質量：0.9 kg<br>器具光束：274 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：53.7 lm/W<br>デザイン分類：数寄屋<br>【アクリルカバー】乳白<br>【木製】桧<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>耐候処理仕上<br>点灯照度調整機能付<br>対象負荷　LED：5.2Wまで（但し、1灯に限る）<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>天然木を使用していますので年数とともに徐々に風化（経年変化）していきます。<br>天然木を使用していますので雨線内でご使用ください。変色・腐食の原因になります。<br>","LGWC85082F","41500",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・ペア点灯可能型・点灯省エネ型・明るさセンサ付　数寄屋　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：170 mm　<br>高：265 mm　<br>出しろ：126 mm<br>質量：0.9 kg<br>器具光束：274 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：53.7 lm/W<br>デザイン分類：数寄屋<br>【アクリルカバー】乳白<br>【木製】桧<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>耐候処理仕上<br>点灯照度調整機能付<br>対象負荷　LED：5.2Wまで（但し、1灯に限る）<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>天然木を使用していますので年数とともに徐々に風化（経年変化）していきます。<br>天然木を使用していますので雨線内でご使用ください。変色・腐食の原因になります。<br>","LGWC85085F","43500",
