"タイトル","説明","品物番号","定価",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・ペア点灯可能型・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：164 mm　<br>高：257 mm　<br>出しろ：119 mm<br>質量：1 kg<br>器具光束：274 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：53.7 lm/W<br>デザイン分類：現代和風<br>【アクリルカバー】乳白<br>【ステンレス】プラチナメタリック<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>対象負荷　LED：5.2Wまで（但し、1灯に限る）<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>","LGWC85086F","40500",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・ペア点灯可能型・点灯省エネ型・明るさセンサ付　数寄屋　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：216 mm　<br>高：271 mm　<br>出しろ：150 mm<br>質量：1 kg<br>器具光束：270 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：52.9 lm/W<br>デザイン分類：数寄屋<br>【アクリルカバー】乳白<br>【木製】桧<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>耐候処理仕上<br>点灯照度調整機能付<br>対象負荷　LED：5.2Wまで（但し、1灯に限る）<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>天然木を使用していますので年数とともに徐々に風化（経年変化）していきます。<br>天然木を使用していますので雨線内でご使用ください。変色・腐食の原因になります。<br>","LGWC85084F","49000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・ペア点灯可能型・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：164 mm　<br>高：257 mm　<br>出しろ：119 mm<br>質量：1 kg<br>器具光束：254 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：49.8 lm/W<br>デザイン分類：現代和風<br>【アクリルカバー】乳白<br>【ステンレス】オフブラック<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>対象負荷　LED：5.2Wまで（但し、1灯に限る）<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>","LGWC85083F","42500",
"天井直付型・壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：240 mm　<br>高：240 mm　<br>出しろ：104 mm<br>質量：0.7 kg<br>器具光束：211 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：49 lm/W<br>デザイン分類：Casual<br>【アクリルカバー】乳白<br>【プラスチック】ホワイト<br>天井直付型・壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>壁面・天井面取付専用<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>ボックス取り付け不可<br>調光操作不可<br>","LGW85076W","19600",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：210 mm　<br>高：218 mm　<br>出しろ：277 mm<br>質量：1.4 kg<br>器具光束：211 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：49 lm/W<br>デザイン分類：French Chic<br>【ガラスカバー】乳白つや消し<br>【アルミダイカスト】ダークブラウンメタリック<br>壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85219F","39500",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：210 mm　<br>高：218 mm　<br>出しろ：277 mm<br>質量：1.4 kg<br>器具光束：211 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：49 lm/W<br>デザイン分類：French Chic<br>【ガラスカバー】乳白つや消し<br>【アルミダイカスト】ホワイト<br>壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85220F","39500",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：96 mm　<br>高：307 mm　<br>出しろ：105 mm<br>質量：0.7 kg<br>器具光束：250 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：49 lm/W<br>デザイン分類：Casual<br>【アクリルカバー】乳白<br>【プラスチック】ホワイト<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>","LGWC85068W","26800",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：96 mm　<br>高：307 mm　<br>出しろ：105 mm<br>質量：0.7 kg<br>器具光束：250 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：49 lm/W<br>デザイン分類：Stylish Modern<br>【アクリルカバー】乳白<br>【プラスチック】シルバーメタリック<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>","LGWC85068S","27900",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：96 mm　<br>高：307 mm　<br>出しろ：105 mm<br>質量：0.7 kg<br>器具光束：250 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：49 lm/W<br>デザイン分類：Villa Resort<br>【アクリルカバー】乳白<br>【プラスチック】ダークブラウン<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>","LGWC85068A","27900",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：96 mm　<br>高：307 mm　<br>出しろ：105 mm<br>質量：0.7 kg<br>器具光束：250 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：49 lm/W<br>デザイン分類：Natural<br>【アクリルカバー】乳白<br>【プラスチック】プラチナメタリック<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>","LGWC85068Y","27900",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：96 mm　<br>高：307 mm　<br>出しろ：105 mm<br>質量：0.7 kg<br>器具光束：250 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：49 lm/W<br>デザイン分類：Stylish Modern<br>【アクリルカバー】乳白<br>【プラスチック】オフブラック<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>","LGWC85068B","27900",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：143 mm　<br>高：457 mm　<br>出しろ：172 mm<br>質量：1.5 kg<br>器具光束：207 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：48.1 lm/W<br>デザイン分類：Modern Classic<br>【アクリルカバー】乳白<br>【アルミダイカスト】オフブラック<br>壁直付型、密閉型<br>Ra80<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85022U","34000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：153 mm　<br>高：252 mm　<br>出しろ：275 mm<br>質量：1.7 kg<br>器具光束：237 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：46.4 lm/W<br>デザイン分類：Vintage<br>【ガラスカバー】透明<br>【アルミダイカスト】ダークブラウンメタリック<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGWC85216F","62000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：153 mm　<br>高：252 mm　<br>出しろ：275 mm<br>質量：1.7 kg<br>器具光束：237 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：46.4 lm/W<br>デザイン分類：Vintage<br>【ガラスカバー】透明<br>【アルミダイカスト】オフブラック<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGWC85217F","62000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：153 mm　<br>高：252 mm　<br>出しろ：275 mm<br>質量：1.7 kg<br>器具光束：237 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：46.4 lm/W<br>デザイン分類：Vintage<br>【ガラスカバー】透明<br>【アルミダイカスト】ホワイト<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGWC85218F","62000",
"天井直付型・壁直付型　LED（電球色）　ポーチライト　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：151 mm　<br>高：319 mm　<br>出しろ：120 mm<br>質量：0.8 kg<br>器具光束：193 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：44.8 lm/W<br>デザイン分類：Stylish Modern<br>【アクリルカバー】乳白<br>天井直付型・壁直付型<br>Ra80<br>壁面・天井面取付専用<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85036","21400",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：130 mm　<br>高：130 mm　<br>出しろ：190 mm<br>質量：2.3 kg<br>器具光束：214 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：41.9 lm/W<br>デザイン分類：Stylish Modern<br>【ガラスカバー】乳白つや消し<br>【アルミダイカスト】ダークブラウンメタリック<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGWC85040AF","45000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：130 mm　<br>高：130 mm　<br>出しろ：190 mm<br>質量：2.3 kg<br>器具光束：214 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：41.9 lm/W<br>デザイン分類：Stylish Modern<br>【ガラスカバー】乳白つや消し<br>【アルミダイカスト】シルバーメタリック<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGWC85041S","45000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：130 mm　<br>高：130 mm　<br>出しろ：190 mm<br>質量：2.3 kg<br>器具光束：214 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：41.9 lm/W<br>デザイン分類：Stylish Modern<br>【ガラスカバー】乳白つや消し<br>【アルミダイカスト】プラチナメタリック<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGWC85040YF","45000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：240 mm　<br>高：240 mm　<br>出しろ：104 mm<br>質量：0.8 kg<br>器具光束：211 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：41.3 lm/W<br>デザイン分類：Casual<br>【アクリルカバー】乳白<br>【プラスチック】ホワイト<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>","LGWC85076W","31000",
"壁直付型　LED（電球色）　ポーチライト　密閉型　LED電球交換型・防雨型・FreePaお出迎え・点灯省エネ型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：210 mm　<br>高：230 mm　<br>出しろ：293 mm<br>質量：1.5 kg<br>器具光束：211 lm　<br>電圧：100 V　<br>消費電力：5.1 W　<br>消費効率：41.3 lm/W<br>デザイン分類：French Chic<br>【ガラスカバー】乳白つや消し<br>【アルミダイカスト】ダークブラウンメタリック<br>壁直付型、密閉型<br>Ra80<br>PaPIRs・明るさセンサ付<br>壁スイッチ切替（センサ←→連続点灯）<br>センサ可動範囲〔全方向20度〕<br>点灯照度調整機能付<br>40形電球1灯器具相当<br>密閉型<br>LED電球専用商品<br>入力電流（100V時）：0.091 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGWC85219F","52000",
